
"These predictions were generated by FAST (v6.10a-jmj, 21-Feb-2007) on 01-Apr-2007 at 16:56:40."
"The aerodynamic calculations were made by AeroDyn (12.60i-pjm, 16-Nov-2006)."

 NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

    Time	WindVxi	GenPwr	RotSpeed	OoPDefl1	IPDefl1	OoPDefl2	IPDefl2	OoPDefl3	IPDefl3	RootFxc1	RootFyc1	RootFzc1	RotTorq
   (sec)	(m/sec)	(kW)	(rpm)	(m)	(m)	(m)	(m)	(m)	(m)	(kN)	(kN)	(kN)	(kN·m)
30.00	6.843E+00	1.672E+03	8.958E+00	2.819E+00	-3.907E-03	3.800E+00	-2.414E-01	2.538E+00	-6.785E-01	1.530E+02	9.052E+01	4.695E+02	1.940E+03
30.05	6.613E+00	1.671E+03	8.960E+00	2.877E+00	1.015E-02	3.820E+00	-2.636E-01	2.510E+00	-6.711E-01	1.508E+02	9.727E+01	4.634E+02	1.937E+03
30.10	6.352E+00	1.671E+03	8.960E+00	2.925E+00	2.702E-02	3.830E+00	-2.838E-01	2.494E+00	-6.649E-01	1.499E+02	1.043E+02	4.567E+02	1.915E+03
30.15	6.427E+00	1.671E+03	8.959E+00	2.967E+00	4.522E-02	3.835E+00	-3.036E-01	2.489E+00	-6.594E-01	1.492E+02	1.109E+02	4.512E+02	1.881E+03
30.20	6.511E+00	1.670E+03	8.958E+00	3.006E+00	6.272E-02	3.842E+00	-3.240E-01	2.490E+00	-6.542E-01	1.484E+02	1.176E+02	4.452E+02	1.847E+03
30.25	6.510E+00	1.668E+03	8.957E+00	3.041E+00	7.832E-02	3.853E+00	-3.454E-01	2.496E+00	-6.491E-01	1.483E+02	1.241E+02	4.381E+02	1.827E+03
30.30	6.689E+00	1.667E+03	8.957E+00	3.065E+00	9.232E-02	3.864E+00	-3.674E-01	2.503E+00	-6.427E-01	1.502E+02	1.289E+02	4.323E+02	1.832E+03
30.35	6.911E+00	1.665E+03	8.956E+00	3.075E+00	1.045E-01	3.866E+00	-3.895E-01	2.512E+00	-6.355E-01	1.534E+02	1.329E+02	4.265E+02	1.853E+03
30.40	6.986E+00	1.663E+03	8.954E+00	3.073E+00	1.140E-01	3.854E+00	-4.114E-01	2.526E+00	-6.286E-01	1.558E+02	1.374E+02	4.193E+02	1.876E+03
