
These predictions were generated by FAST (v7.02.00d-bjj, 20-Feb-2013) on 07-Oct-2015 at 16:21:14.
The aerodynamic calculations were made by AeroDyn (v13.00.02a-bjj, 20-Feb-2013).

 NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

Time	WindVxi	WindVyi	WindVzi	GenPwr	GenTq	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	Azimuth	RotSpeed	GenSpeed	TTDspFA	TTDspSS	TTDspTwst	Spn2MLxb1	Spn2MLyb1	RootFxc1	RootFyc1	RootFzc1	RootMxc1	RootMyc1	RootMzc1	RotTorq	LSSGagMya	LSSGagMza	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
(s)	(m/s)	(m/s)	(m/s)	(kW)	(kN·m)	(m)	(m)	(deg)	(deg)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(kN·m)	(kN·m)	(kN)	(kN)	(kN)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN)	(kN)	(kN)	(kN·m)	(kN·m)	(kN·m)	(kN)	(kN)	(kN)	(kN·m)	(kN·m)	(kN·m)
   0.013	 1.081E+01	 1.503E+00	 3.066E-01	 0.000E+00	 0.000E+00	 1.175E-02	-1.019E-03	 0.000E+00	 0.000E+00	 9.079E-01	 1.211E+01	 1.174E+03	-4.876E-06	-5.583E-07	 0.000E+00	 7.145E+00	-6.138E+01	 3.665E+01	-1.714E+00	 4.543E+02	 4.790E+01	 4.707E+02	 4.137E+01	 1.267E+01	-1.842E+03	-4.853E+00	 1.405E+01	 2.782E-01	-3.329E+03	 1.131E+01	-3.420E+02	-4.369E+00	-1.049E+01	-4.704E-01	-6.736E+03	 8.296E+00	-2.446E+02	-4.369E+00
   0.025	 1.079E+01	 1.445E+00	 2.416E-01	 4.960E+03	 4.309E+01	 4.694E-02	-4.148E-03	 0.000E+00	 1.367E-03	 1.817E+00	 1.212E+01	 1.164E+03	-1.876E-05	-3.455E-06	 0.000E+00	-6.179E+00	-4.251E+01	 3.811E+01	-6.479E+00	 4.567E+02	 1.064E+02	 5.362E+02	 4.137E+01	 1.544E+02	-1.844E+03	 1.031E+01	 1.367E+01	 8.026E+00	-3.330E+03	 1.793E+02	-3.486E+02	-1.510E+01	-8.884E+00	-5.493E+00	-6.738E+03	 9.864E+01	-2.030E+02	-1.510E+01
   0.038	 1.076E+01	 1.386E+00	 1.765E-01	 4.922E+03	 4.310E+01	 1.031E-01	-9.177E-03	 0.000E+00	 0.000E+00	 2.726E+00	 1.213E+01	 1.155E+03	-3.853E-05	-1.165E-05	 0.000E+00	-3.296E+01	-4.246E+00	 4.186E+01	-1.386E+01	 4.587E+02	 2.091E+02	 6.414E+02	 6.383E+01	 4.089E+02	-1.858E+03	 1.958E+01	 1.397E+01	 1.837E+01	-3.333E+03	 4.104E+02	-3.700E+02	-3.370E+01	-6.538E+00	-1.182E+01	-6.740E+03	 2.080E+02	-1.427E+02	-3.370E+01
   0.050	 1.074E+01	 1.328E+00	 1.115E-01	 4.890E+03	 4.311E+01	 1.786E-01	-1.591E-02	 0.000E+00	 0.000E+00	 3.635E+00	 1.213E+01	 1.147E+03	-5.996E-05	-2.918E-05	 0.000E+00	-5.883E+01	 3.381E+01	 4.559E+01	-2.247E+01	 4.605E+02	 3.193E+02	 7.958E+02	 6.394E+01	 7.114E+02	-1.859E+03	 1.572E+01	 1.337E+01	 3.009E+01	-3.336E+03	 6.852E+02	-3.839E+02	-6.421E+01	-3.123E+00	-1.821E+01	-6.743E+03	 3.088E+02	-5.356E+01	-6.421E+01
   0.062	 1.075E+01	 1.273E+00	 2.702E-02	 4.860E+03	 4.313E+01	 2.725E-01	-2.597E-02	 0.000E+00	 0.000E+00	 4.544E+00	 1.211E+01	 1.140E+03	-7.785E-05	-6.010E-05	 0.000E+00	-1.009E+02	 9.938E+01	 3.802E+01	-3.308E+01	 4.626E+02	 4.701E+02	 8.226E+02	 2.365E+01	 1.148E+03	-1.875E+03	 1.147E+01	 1.093E+01	 4.652E+01	-3.337E+03	 1.083E+03	-4.104E+02	-1.117E+02	-9.294E-01	-2.638E+01	-6.744E+03	 4.268E+02	 1.541E+01	-1.117E+02
   0.075	 1.075E+01	 1.218E+00	-5.745E-02	 4.835E+03	 4.316E+01	 3.767E-01	-3.880E-02	 0.000E+00	 0.000E+00	 5.452E+00	 1.209E+01	 1.133E+03	-1.055E-04	-1.110E-04	 0.000E+00	-1.287E+02	 1.514E+02	 4.353E+01	-4.444E+01	 4.632E+02	 6.322E+02	 1.044E+03	 2.394E+01	 1.613E+03	-1.876E+03	-1.104E+01	 1.022E+01	 6.246E+01	-3.342E+03	 1.508E+03	-4.266E+02	-1.788E+02	 3.571E+00	-3.225E+01	-6.750E+03	 4.784E+02	 1.319E+02	-1.788E+02
   0.087	 1.076E+01	 1.163E+00	-1.419E-01	 4.815E+03	 4.318E+01	 4.977E-01	-5.650E-02	 0.000E+00	 0.000E+00	 6.358E+00	 1.206E+01	 1.128E+03	-1.215E-04	-1.867E-04	 0.000E+00	-1.501E+02	 2.142E+02	 5.027E+01	-5.509E+01	 4.635E+02	 8.045E+02	 1.303E+03	 1.269E+01	 2.105E+03	-1.905E+03	-3.211E+01	 1.130E+01	 7.750E+01	-3.349E+03	 1.960E+03	-4.713E+02	-2.709E+02	 7.412E+00	-3.513E+01	-6.757E+03	 4.459E+02	 2.329E+02	-2.709E+02
   0.100	 1.077E+01	 1.108E+00	-2.264E-01	 4.800E+03	 4.321E+01	 6.264E-01	-7.855E-02	 0.000E+00	 0.000E+00	 7.260E+00	 1.201E+01	 1.124E+03	-1.325E-04	-2.932E-04	 0.000E+00	-1.606E+02	 2.796E+02	 5.770E+01	-6.523E+01	 4.633E+02	 9.813E+02	 1.593E+03	 1.298E+01	 2.596E+03	-1.904E+03	-7.262E+01	 1.094E+01	 8.997E+01	-3.356E+03	 2.415E+03	-4.858E+02	-3.814E+02	 1.218E+01	-3.348E+01	-6.764E+03	 2.942E+02	 3.572E+02	-3.814E+02
   0.113	 1.077E+01	 1.124E+00	-2.400E-01	 4.790E+03	 4.325E+01	 7.676E-01	-1.066E-01	 0.000E+00	 0.000E+00	 8.160E+00	 1.197E+01	 1.121E+03	-1.205E-04	-4.354E-04	 0.000E+00	-1.556E+02	 3.565E+02	 6.689E+01	-7.357E+01	 4.628E+02	 1.155E+03	 1.919E+03	 7.070E+00	 3.068E+03	-1.930E+03	-1.203E+02	 1.258E+01	 9.886E+01	-3.365E+03	 2.855E+03	-5.232E+02	-5.109E+02	 1.598E+01	-2.632E+01	-6.772E+03	 3.097E+00	 4.576E+02	-5.109E+02
