
These predictions were generated by FAST (v7.02.00d-bjj, 20-Feb-2013) on 29-Oct-2015 at 11:27:32.
The aerodynamic calculations were made by AeroDyn (v13.00.02a-bjj, 20-Feb-2013).

 FAST v7.02 input file for turbine "WP0.75A08V00"

Time	WindVxi	WindVyi	WindVzi	BldPitch1	BldPitch2	BldPitch3	RotSpeed	GenSpeed	LSShftTq	HSShftTq	GenTq
(s)	(m/s)	(m/s)	(m/s)	(deg)	(deg)	(deg)	(rpm)	(rpm)	(kN·m)	(kN·m)	(kN·m)
   0.005	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 2.442E+01	-1.103E+02	 3.853E+03	 3.853E+03	 0.000E+00
   0.010	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 4.240E+04	-2.399E+08	 6.842E+09	 6.842E+09	 0.000E+00
   0.015	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.020	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.025	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.030	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.035	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.040	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.045	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.050	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.055	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.060	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.065	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.070	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.075	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.080	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.085	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.090	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.095	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.100	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.105	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.110	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.115	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.120	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.125	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.130	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.135	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.140	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.145	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.150	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.155	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.160	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.165	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.170	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.175	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.180	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.185	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.190	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.195	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.200	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.205	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.210	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.215	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.220	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.225	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.230	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.235	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.240	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.245	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.250	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.255	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.260	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.265	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.270	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.275	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.280	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.285	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.290	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.295	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.300	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.305	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.310	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.315	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.320	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.325	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.330	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.335	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.340	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.345	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.350	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.355	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.360	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.365	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.370	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.375	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.380	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.385	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.390	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.395	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.400	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.405	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.410	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.415	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.420	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.425	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.430	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.435	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.440	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.445	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.450	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.455	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.460	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.465	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.470	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.475	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.480	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
   0.485	 1.593E+01	 0.000E+00	 0.000E+00	 2.600E+00	 2.600E+00	 2.600E+00	 NaN      	 NaN      	 NaN      	 NaN      	 0.000E+00
