s818_2702.dat Re=4,000,000
FROM Dayton Griffin, sept28 '00, post stall blended with flat plate
       12.00            Stall angle (deg)
        0.0             Gormont dynamic stall parameter (upper loop)
        0.7             Gormont dynamic stall parameter (lower loop)
        0.27            Airfoil Thickness ratio, Thickness/Chord
       -2.00            zero lift angle
       6.308            Cn slope
       1.32             Cn at stall
      -1.1              Cn at negative stall
       0.01             Alpha for Cd min
       0.010            Cd min
   -180.0    -0.17     0.02
   -170.0    0.64      0.05
   -160.0    0.84      0.31
   -150.0    1.08      0.62
   -140.0    1.15      0.96
   -130.0    1.09      1.3
   -120.0    0.88      1.52
   -110.0    0.60      1.66
   -100.0    0.31      1.76
   -90.0     0.00      1.8
   -80.0     -0.31     1.76
   -70.0     -0.60     1.66
   -60.0     -0.88     1.52
   -50.0     -1.09     1.3
   -40.0     -1.15     0.96
   -30.0     -1.08     0.62
   -20.0     -0.84     0.31
   -10.0     -0.64     0.0144
   -8.0      -0.48     0.0124
    -6       -0.09     0.0082
    -5       0.02      0.0082
    -4       0.13      0.0082
    -3       0.24      0.0082
    -2       0.35      0.0086
    -1       0.46      0.0086
    0        0.57      0.0087
    1        0.67      0.0088
    2        0.78      0.0090
    3        0.89      0.0093
    4        0.99      0.0096
    5        1.10      0.0099
    6        1.20      0.0103
    7        1.31      0.0108
    8        1.41      0.0113
    9        1.51      0.0118
    10       1.56      0.0194     <<  Eppler Cl to here
    11       1.61      0.0221
    12       1.61      0.0245
    13       1.62      0.0269
    14       1.62      0.0296    <<  Eppler Cd to here
    15       1.62      0.0520
    30       1.08      0.6200    <<  Flat plate here and above
    40       1.15      0.9600
    50       1.09      1.3000
    60       0.88      1.5200
    70       0.60      1.6600
    80       0.31      1.7600
    90       0.00      1.8000
   100.0     -0.31     1.76
   110.0     -0.6      1.66
   120.0     -0.88     1.52
   130.0     -1.09     1.3
   140.0     -1.15     0.96
   150.0     -1.08     0.62
   160.0     -0.84     0.31
   170.0     -0.64     0.05
   180.0     -0.17     0.02
