s825_2102.dat Re=3,000,000
FROM Dayton Griffin, sept 28'00, post stall combined with flat plate
       10.00            Stall angle (deg)
        0.0             Gormont dynamic stall parameter (upper loop)
        0.7             Gormont dynamic stall parameter (lower loop)
        0.21            Airfoil Thickness ratio, Thickness/Chord
       -2.00            zero lift angle
       6.308            Cn slope
       1.32             Cn at stall
      -1.1              Cn at negative stall
       0.01             Alpha for Cd min
       0.010            Cd min
   -180.0    -0.17     0.02
   -170.0    0.64      0.05
   -160.0    0.84      0.31
   -150.0    1.08      0.62
   -140.0    1.15      0.96
   -130.0    1.09      1.3
   -120.0    0.88      1.52
   -110.0    0.60      1.66
   -100.0    0.31      1.76
   -90.0     0.00      1.8
   -80.0     -0.31     1.76
   -70.0     -0.60     1.66
   -60.0     -0.88     1.52
   -50.0     -1.09     1.3
   -40.0     -1.15     0.96
   -30.0     -1.08     0.62
   -20.0     -0.84     0.31
   -10.0     -0.64     0.0144
   -8.0      -0.48     0.0124
    -6        0.01     0.0074
    -5        0.12     0.0075
    -4        0.23     0.0077
    -3        0.34     0.0078
    -2        0.44     0.0080
    -1        0.55     0.0082
    0         0.66     0.0084
    1         0.77     0.0086
    2         0.88     0.0089
    3         0.98     0.0091
    4         1.09     0.0095
    5         1.20     0.0098
    6         1.30     0.0102
    7         1.41     0.0107
    8         1.49     0.0155
    9         1.58     0.0179      !  Eppler Cl to here
    10        1.66     0.0203
    11        1.66     0.0250
    12        1.66     0.0273
    13        1.66     0.0297
    14        1.66     0.0324      !  Eppler Cd to here
    15        1.66     0.0520
    30        1.08     0.6200      <<  Flat plate here and above
    40        1.15     0.9600
    50        1.09     1.3000
    60        0.88     1.5200
    70        0.60     1.6600
    80        0.31     1.7600
    90        0.00     1.8000
   100.0     -0.31     1.76
   110.0     -0.6      1.66
   120.0     -0.88     1.52
   130.0     -1.09     1.3
   140.0     -1.15     0.96
   150.0     -1.08     0.62
   160.0     -0.84     0.31
   170.0     -0.64     0.05
   180.0     -0.17     0.02
