
These predictions were generated by FAST (v7.02.00d-bjj, 20-Feb-2013) on 20-Oct-2015 at 12:32:24.
The aerodynamic calculations were made by AeroDyn (v13.00.02a-bjj, 20-Feb-2013).

 FAST certification Test #13: WindPACT 1.5 MW Baseline with many DOFs with VS and VP and FF turbulence.

Time	WindVxi	WindVyi	WindVzi	HorWndDir	VerWndDir	BldPitch1	IPDefl1	IPDefl2	TwstDefl1	TwstDefl2	TwstDefl3	RootMxb2	RootMyb2	RootMzb2	LSShftFys	LSShftFzs	LSSTipMys	LSSTipMzs	YawBrTDxp	YawBrTDyp	YawBrMxn	YawBrMyn	YawBrMzn	GenSpeed	GenTq	GenPwr	GenCp	RotPwr	RotThrust	RotTorq	RotSpeed	OoPDefl1	IPDefl1	TSR	TwrBsFxt	TwrBsFyt	TwrBsMxt	TwrBsMyt	TwrBsMzt	TTDspFA	TTDspSS
(s)	(m/s)	(m/s)	(m/s)	(deg)	(deg)	(deg)	(m)	(m)	(deg)	(deg)	(deg)	(kN·m)	(kN·m)	(kN·m)	(kN)	(kN)	(kN·m)	(kN·m)	(m)	(m)	(kN·m)	(kN·m)	(kN·m)	(rpm)	(kN·m)	(kW)	(-)	(kW)	(kN)	(kN·m)	(rpm)	(m)	(m)	(-)	(kN)	(kN)	(kN·m)	(kN·m)	(kN·m)	(m)	(m)
   0.050	 1.200E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.300E+00	-5.821E-02	-8.052E-02	 0.000E+00	 0.000E+00	 0.000E+00	 3.252E+02	 2.178E+02	 6.375E+00	 5.336E+00	-2.418E+02	 2.165E+01	-9.841E+00	-1.001E-04	-2.623E-04	 6.224E+02	-7.970E+02	-8.768E+01	 1.779E+03	 8.177E+00	 1.447E+03	 3.552E-01	 1.403E+03	 5.674E+01	 6.607E+02	 2.028E+01	 1.495E-01	-5.821E-02	 6.193E+00	-6.080E+00	-9.420E+00	 6.117E+01	 7.826E+01	-8.768E+01	-1.001E-04	-2.623E-04
   0.100	 1.200E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.300E+00	-1.693E-01	-2.437E-01	 0.000E+00	 0.000E+00	 0.000E+00	 4.812E+02	 5.639E+02	 4.696E+00	 3.089E+00	-2.622E+02	 2.250E+01	-5.716E+00	 2.215E-04	-1.182E-03	 8.471E+02	-8.687E+02	-9.486E+01	 1.781E+03	 8.204E+00	 1.454E+03	 3.569E-01	 1.869E+03	 9.168E+01	 8.811E+02	 2.025E+01	 4.963E-01	-1.693E-01	 6.186E+00	 3.117E+01	 1.483E+01	-6.461E+02	 1.122E+03	-9.486E+01	 2.215E-04	-1.182E-03
   0.150	 1.200E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.300E+00	-2.519E-01	-3.793E-01	 0.000E+00	 0.000E+00	 0.000E+00	 5.501E+02	 1.016E+03	 2.948E+00	-1.193E-01	-2.819E+02	-1.291E+01	-9.880E+00	 2.641E-03	-2.741E-03	 8.573E+02	-9.542E+02	-8.550E+01	 1.796E+03	 8.337E+00	 1.490E+03	 3.657E-01	 1.855E+03	 1.443E+02	 8.681E+02	 2.041E+01	 9.198E-01	-2.519E-01	 6.233E+00	 5.164E+01	 4.815E+01	-1.506E+03	 1.786E+03	-8.549E+01	 2.641E-03	-2.741E-03
   0.200	 1.200E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.300E+00	-2.969E-01	-4.515E-01	 0.000E+00	 0.000E+00	 0.000E+00	 5.418E+02	 1.407E+03	 2.887E+00	 4.624E-01	-2.912E+02	-6.540E+01	-1.378E+01	 9.146E-03	-4.641E-03	 7.763E+02	-9.999E+02	-8.161E+01	 1.806E+03	 8.377E+00	 1.505E+03	 3.695E-01	 1.662E+03	 1.907E+02	 7.731E+02	 2.053E+01	 1.339E+00	-2.969E-01	 6.270E+00	 3.697E+01	 6.061E+01	-1.747E+03	 1.638E+03	-8.160E+01	 9.146E-03	-4.641E-03
   0.250	 1.200E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.300E+00	-3.433E-01	-4.841E-01	 0.000E+00	 0.000E+00	 0.000E+00	 4.785E+02	 1.639E+03	 4.093E+00	 6.017E+00	-2.885E+02	-9.751E+01	 1.312E-01	 2.101E-02	-6.533E-03	 6.801E+02	-9.770E+02	-7.844E+01	 1.805E+03	 8.377E+00	 1.504E+03	 3.692E-01	 1.472E+03	 2.176E+02	 6.852E+02	 2.052E+01	 1.690E+00	-3.433E-01	 6.266E+00	 1.409E+00	 3.759E+01	-1.006E+03	 1.110E+03	-7.842E+01	 2.101E-02	-6.533E-03
   0.300	 1.200E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.300E+00	-4.142E-01	-5.008E-01	 0.000E+00	 0.000E+00	 0.000E+00	 3.896E+02	 1.721E+03	 5.219E+00	 1.381E+01	-2.794E+02	-9.940E+01	 3.333E+01	 3.844E-02	-8.321E-03	 6.625E+02	-9.126E+02	-7.315E+01	 1.799E+03	 8.365E+00	 1.497E+03	 3.675E-01	 1.486E+03	 2.269E+02	 6.936E+02	 2.045E+01	 1.931E+00	-4.142E-01	 6.247E+00	-2.090E+01	-7.129E+00	 3.010E+02	 1.151E+03	-7.313E+01	 3.844E-02	-8.321E-03
   0.350	 1.200E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.300E+00	-4.886E-01	-4.935E-01	 0.000E+00	 0.000E+00	 0.000E+00	 2.759E+02	 1.717E+03	 6.475E+00	 1.740E+01	-2.708E+02	-9.728E+01	 6.583E+01	 6.099E-02	-1.022E-02	 7.233E+02	-8.653E+02	-6.096E+01	 1.798E+03	 8.361E+00	 1.496E+03	 3.673E-01	 1.657E+03	 2.270E+02	 7.736E+02	 2.045E+01	 2.056E+00	-4.886E-01	 6.246E+00	-4.658E+00	-3.780E+01	 1.195E+03	 2.450E+03	-6.094E+01	 6.099E-02	-1.022E-02
   0.400	 1.200E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.300E+00	-5.295E-01	-4.445E-01	 0.000E+00	 0.000E+00	 0.000E+00	 1.311E+02	 1.681E+03	 8.846E+00	 1.207E+01	-2.658E+02	-1.202E+02	 8.044E+01	 8.819E-02	-1.250E-02	 7.894E+02	-8.702E+02	-3.384E+01	 1.806E+03	 8.377E+00	 1.505E+03	 3.694E-01	 1.784E+03	 2.233E+02	 8.300E+02	 2.053E+01	 2.088E+00	-5.295E-01	 6.270E+00	 4.734E+01	-2.790E+01	 9.815E+02	 4.919E+03	-3.382E+01	 8.819E-02	-1.250E-02
   0.450	 1.200E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.300E+00	-5.248E-01	-3.628E-01	 0.000E+00	 0.000E+00	 0.000E+00	-2.095E+01	 1.630E+03	 1.175E+01	-1.807E-02	-2.637E+02	-1.670E+02	 8.173E+01	 1.196E-01	-1.525E-02	 8.143E+02	-9.083E+02	 9.418E+00	 1.815E+03	 8.377E+00	 1.513E+03	 3.714E-01	 1.771E+03	 2.178E+02	 8.194E+02	 2.063E+01	 2.059E+00	-5.248E-01	 6.302E+00	 1.088E+02	 1.421E+01	-9.038E+01	 7.811E+03	 9.448E+00	 1.196E-01	-1.525E-02
