BldFlDmp(1)	3.882							
BldFlDmp(2)	3.882							
BldEdDmp(1)	5.900							
DistBldProps	BlFract	AeroCent	StrcTwst	BMassDen	FlpStff	EdgStff	GJStff	EAStff
	0.000000	0.2500000	11.1000000	3708.4116473	6.37207E+10	6.37207E+10	2.20577E+10	4.25829E+10
	0.021053	0.2500000	11.1000000	622.3231717	1.40368E+10	1.40368E+10	4.90499E+09	9.46918E+09
	0.052632	0.2294309	11.1000000	632.6693994	1.23979E+10	1.37993E+10	4.11171E+09	9.41456E+09
	0.105263	0.2011898	11.1000000	649.9131123	9.66635E+09	1.34034E+10	2.78957E+09	9.32351E+09
	0.157895	0.1785518	11.1000000	667.1568251	6.93482E+09	1.30075E+10	1.46744E+09	9.23247E+09
	0.210526	0.1600000	11.1000000	684.4005380	4.20329E+09	1.26116E+10	1.45304E+08	9.14143E+09
	0.263158	0.1648255	9.5000000	650.7744883	3.56608E+09	1.05973E+10	1.27815E+08	8.69288E+09
	0.315789	0.1701476	7.9000000	617.1484387	2.92888E+09	8.58308E+09	1.10327E+08	8.24433E+09
	0.368421	0.1760471	6.3000000	583.5223890	2.29167E+09	6.56883E+09	9.28382E+07	7.79578E+09
	0.421053	0.1826234	4.7000000	549.8963394	1.65447E+09	4.55458E+09	7.53496E+07	7.34724E+09
	0.473684	0.1900000	3.1000000	516.2702897	1.01727E+09	2.54032E+09	5.78611E+07	6.89869E+09
	0.526316	0.1944450	2.6000000	458.0476733	8.45657E+08	2.15434E+09	4.86099E+07	6.10041E+09
	0.578947	0.1995060	2.1000000	399.8250569	6.74049E+08	1.76836E+09	3.93587E+07	5.30213E+09
	0.631579	0.2053203	1.6000000	341.6024405	5.02441E+08	1.38238E+09	3.01076E+07	4.50385E+09
	0.684211	0.2120699	1.1000000	283.3798242	3.30832E+08	9.96396E+08	2.08564E+07	3.70557E+09
	0.736842	0.2200000	0.6000000	225.1572078	1.59224E+08	6.10414E+08	1.16052E+07	2.90729E+09
	0.789474	0.2239500	0.4800000	184.5229820	1.27691E+08	4.99056E+08	9.53169E+06	2.37298E+09
	0.842105	0.2286378	0.3600000	143.8887563	9.61582E+07	3.87698E+08	7.45815E+06	1.83866E+09
	0.894737	0.2342915	0.2400000	103.2545306	6.46254E+07	2.76340E+08	5.38460E+06	1.30435E+09
	0.947368	0.2412437	0.1200000	62.6203049	3.30926E+07	1.64982E+08	3.31106E+06	7.70030E+08
	1.000000	0.2500000	0.0000000	21.9860792	1.55978E+06	5.36244E+07	1.23752E+06	2.35714E+08
