BlFract,AeroCent,StrcTwst,BMassDen,FlpStff,EdgStff,GJStff,EAStff,NFoil,Chord
0,0.25,11.1,1447.606765,7681455581,7681455581,2655231266,17152702553,1,1.92506985
0.021052632,0.25,11.1,180.333,1169870000,1169870000,408800000,2640800000,1,1.889519939
0.052631579,0.229423964,11.1,181.6725,1020625000,1092283333,343811666.7,2611266667,1,2.041283549
0.105263158,0.201179956,11.1,183.905,771883333.3,962972222.2,235497777.8,2562044444,2,2.2942229
0.157894737,0.178545343,11.1,186.1375,523141666.7,833661111.1,127183888.9,2512822222,2,2.54716225
0.210526316,0.16,11.1,188.37,274400000,704350000,18870000,2463600000,2,2.8001016
0.263157895,0.164825303,9.5,178.3205927,234566962.7,614654018.7,16791469.1,2332790997,2,2.669443739
0.315789474,0.170147271,7.9,168.2711854,194733925.5,524958037.4,14712938.2,2201981995,2,2.538785878
0.368421053,0.176046747,6.3,158.2217781,154900888.2,435262056,12634407.3,2071172992,2,2.408128016
0.421052632,0.182623126,4.7,148.1723709,115067850.9,345566074.7,10555876.4,1940363990,2,2.277470155
0.473684211,0.19,3.1,138.1229636,75234813.64,255870093.4,8477345.505,1809554987,2,2.146812294
0.526315789,0.194445312,2.6,122.8959919,62494737.51,217865844.6,7117485.09,1605306500,3,2.016205232
0.578947368,0.199506439,2.1,107.6690203,49754661.38,179861595.7,5757624.674,1401058014,3,1.885598171
0.631578947,0.205320867,1.6,92.4420487,37014585.25,141857346.9,4397764.259,1196809527,3,1.75499111
0.684210526,0.212070303,1.1,77.21507708,24274509.11,103853098.1,3037903.844,992561040.7,3,1.624384049
0.736842105,0.22,0.6,61.98810545,11534432.98,65848849.29,1678043.429,788312554.2,3,1.493776988
0.789473684,0.22395002,0.48,51.8610625,9273805.016,54253893.48,1378321.353,654344501.5,3,1.376225552
0.842105263,0.22863785,0.36,41.73401954,7013177.049,42658937.67,1078599.276,520376448.9,3,1.258674117
0.894736842,0.234291502,0.24,31.60697658,4752549.082,31063981.85,778877.2003,386408396.2,4,1.141122682
0.947368421,0.241243734,0.12,21.47993362,2491921.116,19469026.04,479155.1241,252440343.6,4,1.023571247
1,0.25,0,11.35289067,231293.1486,7874070.227,179433.0479,118472290.9,4,0.906019812
