BlFract,AeroCent,StrcTwst,BMassDen,FlpStff,EdgStff,GJStff,EAStff,NFoil,Chord
0,0.25,11.1,1447.606765,7.6815E+09,7.6815E+09,2.6552E+09,1.7153E+10,1,1.92506985
0.021,0.250,11.10,180.33,1.1699E+09,1.1699E+09,4.0880E+08,2.6408E+09,1,1.889519939
0.053,0.229,11.10,181.67,1.0206E+09,1.0923E+09,3.4381E+08,2.6113E+09,1,2.041283549
0.105,0.201,11.10,183.91,7.7188E+08,9.6297E+08,2.3550E+08,2.5620E+09,2,2.2942229
0.158,0.179,11.10,186.14,5.2314E+08,8.3366E+08,1.2718E+08,2.5128E+09,2,2.54716225
0.211,0.160,11.10,188.37,2.7440E+08,7.0435E+08,1.8870E+07,2.4636E+09,2,2.8001016
0.263,0.165,9.50,178.32,2.3457E+08,6.1465E+08,1.6791E+07,2.3328E+09,2,2.669443739
0.316,0.170,7.90,168.27,1.9473E+08,5.2496E+08,1.4713E+07,2.2020E+09,2,2.538785878
0.368,0.176,6.30,158.22,1.5490E+08,4.3526E+08,1.2634E+07,2.0712E+09,2,2.408128016
0.421,0.183,4.70,148.17,1.1507E+08,3.4557E+08,1.0556E+07,1.9404E+09,2,2.277470155
0.474,0.190,3.10,138.12,7.5235E+07,2.5587E+08,8.4773E+06,1.8096E+09,2,2.146812294
0.526,0.194,2.60,122.90,6.2495E+07,2.1787E+08,7.1175E+06,1.6053E+09,3,2.016205232
0.579,0.200,2.10,107.67,4.9755E+07,1.7986E+08,5.7576E+06,1.4011E+09,3,1.885598171
0.632,0.205,1.60,92.44,3.7015E+07,1.4186E+08,4.3978E+06,1.1968E+09,3,1.75499111
0.684,0.212,1.10,77.22,2.4275E+07,1.0385E+08,3.0379E+06,9.9256E+08,3,1.624384049
0.737,0.220,0.60,61.99,1.1534E+07,6.5849E+07,1.6780E+06,7.8831E+08,3,1.493776988
0.789,0.224,0.48,51.86,9.2738E+06,5.4254E+07,1.3783E+06,6.5434E+08,3,1.376225552
0.842,0.229,0.36,41.73,7.0132E+06,4.2659E+07,1.0786E+06,5.2038E+08,3,1.258674117
0.895,0.234,0.24,31.61,4.7525E+06,3.1064E+07,7.7888E+05,3.8641E+08,4,1.141122682
0.947,0.241,0.12,21.48,2.4919E+06,1.9469E+07,4.7916E+05,2.5244E+08,4,1.023571247
1.000,0.250,0.00,11.35,2.3129E+05,7.8741E+06,1.7943E+05,1.1847E+08,4,0.906019812
