x/c,y/c
0.0000,0.00000
0.0010,0.00420
0.0025,0.00823
0.0050,0.01241
0.0100,0.01867
0.0250,0.03188
0.0500,0.04716
0.1000,0.06819
0.1500,0.08311
0.2000,0.09438
0.2500,0.10278
0.3000,0.10859
0.3500,0.11197
0.4000,0.11270
0.4500,0.11064
0.5000,0.10639
0.5500,0.10068
0.6000,0.09385
0.6500,0.08609
0.7000,0.07757
0.7500,0.06830
0.8000,0.05829
0.8500,0.04736
0.9000,0.03493
0.9500,0.01883
0.9750,0.00912
0.9850,0.00525
0.9950,0.00157
1.0000,0.00000
1.0000,-0.00762
0.9950,-0.00629
0.9850,-0.00390
0.9750,-0.00169
0.9500,0.00309
0.9000,0.00940
0.8500,0.01208
0.8000,0.01202
0.7500,0.00991
0.7000,0.00610
0.6500,-0.00037
0.6000,-0.00801
0.5500,-0.01649
0.5000,-0.02549
0.4500,-0.03436
0.4000,-0.04219
0.3500,-0.04796
0.3000,-0.05059
0.2500,-0.04982
0.2000,-0.04561
0.1500,-0.03946
0.1000,-0.03291
0.0500,-0.02405
0.0250,-0.01712
0.0100,-0.01067
0.0050,-0.00741
0.0025,-0.00517
0.0010,-0.00270
0.0000,0.00000
